country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Tanzania,2017,uniqueid_1702,Urban,No,2,39,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1703,Urban,No,1,48,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1704,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1705,Rural,Yes,4,22,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1706,Urban,Yes,1,20,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1707,Urban,Yes,3,23,Female,Parent,Divorced/Seperated,Tertiary education,No Income
Tanzania,2017,uniqueid_1708,Urban,No,1,20,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1709,Urban,Yes,2,57,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1710,Urban,Yes,4,39,Female,Parent,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1711,Urban,No,1,49,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1712,Rural,Yes,5,25,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1713,Urban,No,1,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1714,Urban,Yes,1,65,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1715,Rural,Yes,1,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
Tanzania,2017,uniqueid_1716,Urban,Yes,1,31,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1717,Urban,No,2,19,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1718,Urban,Yes,1,39,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1719,Urban,No,3,20,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1720,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1721,Urban,No,2,81,Female,Child,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1722,Urban,Yes,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1723,Urban,No,1,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1724,Urban,Yes,1,23,Female,Head of Household,Divorced/Seperated,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_1725,Urban,No,2,22,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1726,Urban,No,2,54,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1727,Urban,Yes,2,28,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1728,Urban,Yes,2,59,Female,Spouse,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_1729,Rural,Yes,2,23,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_1730,Urban,No,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1731,Urban,Yes,2,23,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1732,Urban,Yes,2,49,Female,Head of Household,Widowed,Primary education,Government Dependent
Tanzania,2017,uniqueid_1733,Urban,Yes,2,52,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1734,Urban,Yes,5,23,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1735,Urban,Yes,1,36,Female,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1736,Urban,No,2,21,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1737,Urban,Yes,1,28,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
Tanzania,2017,uniqueid_1738,Urban,Yes,1,46,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1739,Rural,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1740,Urban,No,5,18,Female,Other relative,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1741,Urban,Yes,2,30,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1742,Urban,No,3,21,Female,Parent,Divorced/Seperated,Secondary education,No Income
Tanzania,2017,uniqueid_1743,Urban,No,1,79,Female,Head of Household,Widowed,Primary education,Government Dependent
Tanzania,2017,uniqueid_1744,Rural,Yes,2,36,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_1745,Rural,Yes,4,66,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1746,Urban,Yes,1,52,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1747,Urban,No,1,36,Male,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1748,Urban,Yes,3,19,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1749,Rural,Yes,2,32,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_1750,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_1751,Urban,Yes,2,20,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1752,Rural,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1753,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1754,Urban,Yes,2,29,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1755,Rural,Yes,1,43,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1756,Urban,Yes,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1757,Urban,Yes,3,22,Female,Parent,Divorced/Seperated,Primary education,No Income
Tanzania,2017,uniqueid_1758,Rural,Yes,4,48,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1759,Urban,No,1,87,Female,Head of Household,Widowed,No formal education,No Income
Tanzania,2017,uniqueid_1760,Rural,Yes,3,20,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Remittance Dependent
Tanzania,2017,uniqueid_1761,Urban,Yes,5,25,Male,Other relative,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1762,Urban,No,3,61,Female,Child,Widowed,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1763,Urban,No,2,42,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1764,Rural,No,3,63,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1765,Urban,No,2,72,Male,Other relative,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_1766,Rural,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1767,Urban,Yes,5,27,Male,Parent,Divorced/Seperated,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_1768,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1769,Urban,Yes,2,63,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1770,Urban,No,2,52,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1771,Urban,Yes,1,66,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1772,Urban,No,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1773,Rural,Yes,2,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1774,Rural,No,4,26,Male,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1775,Urban,Yes,3,39,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1776,Urban,No,3,52,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1777,Rural,Yes,3,18,Male,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1778,Urban,Yes,3,73,Female,Head of Household,Widowed,Primary education,Government Dependent
Tanzania,2017,uniqueid_1779,Urban,No,2,17,Male,Other relative,Divorced/Seperated,Primary education,No Income
Tanzania,2017,uniqueid_1780,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1781,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
Tanzania,2017,uniqueid_1782,Rural,Yes,2,20,Female,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1783,Rural,Yes,1,34,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1784,Rural,Yes,2,20,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1785,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1786,Urban,No,2,28,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1787,Rural,Yes,2,37,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1788,Rural,No,2,41,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1789,Rural,Yes,3,55,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1790,Rural,Yes,1,33,Male,Head of Household,Divorced/Seperated,Secondary education,Self employed
Tanzania,2017,uniqueid_1791,Urban,No,6,50,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1792,Urban,No,2,22,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1793,Urban,No,2,21,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1794,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1795,Urban,No,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1796,Urban,Yes,3,18,Female,Child,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1797,Rural,Yes,1,65,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1798,Rural,Yes,4,39,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_1799,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1800,Urban,No,2,39,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1801,Urban,No,2,17,Female,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1802,Urban,No,2,45,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1803,Rural,No,1,64,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1804,Urban,Yes,2,18,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1805,Urban,No,3,30,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1806,Urban,No,2,65,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1807,Urban,Yes,2,30,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1808,Urban,No,2,54,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1809,Urban,No,1,70,Female,Head of Household,Widowed,No formal education,No Income
Tanzania,2017,uniqueid_1810,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1811,Urban,No,2,32,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1812,Rural,Yes,2,65,Female,Head of Household,Married/Living together,No formal education,Government Dependent
Tanzania,2017,uniqueid_1813,Urban,Yes,2,32,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_1814,Rural,Yes,2,30,Female,Parent,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_1815,Urban,Yes,3,28,Male,Parent,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_1816,Urban,Yes,1,35,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1817,Urban,Yes,2,26,Female,Spouse,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_1818,Urban,No,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1819,Urban,No,2,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1820,Urban,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1821,Rural,No,4,23,Female,Parent,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1822,Urban,No,2,19,Female,Other non-relatives,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_1823,Rural,Yes,1,23,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1824,Rural,Yes,2,24,Female,Spouse,Single/Never Married,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_1825,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1826,Rural,Yes,4,28,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1827,Rural,Yes,2,41,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1828,Urban,No,5,56,Female,Child,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_1829,Urban,Yes,1,44,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1830,Urban,Yes,2,38,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1831,Urban,Yes,3,38,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_1832,Urban,Yes,2,33,Female,Parent,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1833,Rural,Yes,1,25,Male,Head of Household,Divorced/Seperated,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_1834,Urban,No,1,64,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1835,Rural,Yes,1,78,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_1836,Urban,No,2,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1837,Rural,Yes,1,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1838,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1839,Rural,Yes,3,35,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_1840,Rural,No,2,68,Male,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1841,Urban,Yes,2,36,Male,Other relative,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1842,Urban,Yes,2,38,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_1843,Rural,Yes,1,28,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1844,Rural,Yes,2,62,Female,Parent,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1845,Rural,No,1,45,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1846,Rural,Yes,5,18,Male,Parent,Divorced/Seperated,Tertiary education,No Income
Tanzania,2017,uniqueid_1847,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Vocational/Specialised training,Self employed
Tanzania,2017,uniqueid_1848,Urban,Yes,3,45,Female,Child,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1849,Urban,Yes,3,45,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1850,Urban,No,2,28,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1851,Urban,Yes,3,23,Female,Child,Divorced/Seperated,Primary education,No Income
Tanzania,2017,uniqueid_1852,Urban,Yes,2,40,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_1853,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1854,Urban,No,3,45,Female,Spouse,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1855,Urban,Yes,5,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1856,Urban,Yes,2,74,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1857,Urban,No,1,28,Female,Head of Household,Married/Living together,Tertiary education,Informally employed
Tanzania,2017,uniqueid_1858,Urban,Yes,3,24,Female,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1859,Urban,No,3,60,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1860,Rural,Yes,3,22,Male,Other relative,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,uniqueid_1861,Urban,Yes,1,59,Female,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1862,Urban,Yes,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1863,Urban,No,3,60,Male,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_1864,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1865,Urban,Yes,2,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1866,Urban,No,1,53,Female,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1867,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_1868,Urban,Yes,2,20,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
Tanzania,2017,uniqueid_1869,Urban,No,1,47,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1870,Urban,Yes,2,25,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1871,Urban,Yes,1,78,Male,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_1872,Rural,Yes,3,53,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1873,Urban,Yes,4,40,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1874,Urban,Yes,2,43,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1875,Urban,Yes,2,45,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1876,Urban,No,1,35,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1877,Urban,Yes,1,40,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1878,Urban,No,4,40,Female,Spouse,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1879,Rural,Yes,2,44,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1880,Urban,Yes,2,34,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1881,Rural,No,6,52,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1882,Urban,Yes,3,53,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1883,Urban,Yes,5,18,Male,Parent,Divorced/Seperated,No formal education,Self employed
Tanzania,2017,uniqueid_1884,Urban,Yes,2,25,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1885,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1886,Rural,Yes,3,16,Female,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_1887,Urban,No,1,32,Female,Head of Household,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_1888,Urban,Yes,2,51,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1889,Urban,No,2,38,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1890,Urban,No,1,72,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1891,Urban,Yes,2,54,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1892,Urban,Yes,2,22,Female,Spouse,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_1893,Urban,No,1,80,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1894,Urban,No,11,17,Female,Parent,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_1895,Rural,Yes,3,18,Male,Parent,Divorced/Seperated,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_1896,Urban,Yes,4,22,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_1897,Urban,No,2,42,Female,Spouse,Single/Never Married,No formal education,No Income
Tanzania,2017,uniqueid_1898,Rural,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1899,Rural,Yes,2,46,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
Tanzania,2017,uniqueid_1900,Urban,Yes,1,32,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_1901,Urban,No,2,40,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1902,Urban,Yes,3,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1903,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_1904,Rural,No,2,32,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_1905,Urban,No,2,20,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1906,Urban,Yes,3,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1907,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
